สถานี,วันที่-เวลา,pH,DO,EC,Temp
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 03:00,6.4,0.1,477.4,26.1
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 03:30,6.4,0.1,473.4,26.1
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 04:00,6.5,0.1,468.4,26
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 04:30,6.5,0.1,463.3,26
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 05:00,6.5,0.1,462.9,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 05:30,6.5,0.1,460.5,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 06:00,6.5,0.1,452.8,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 06:30,6.5,0.1,451.3,25.8
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 07:00,6.5,0.1,445.2,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 07:30,6.5,0.1,440.2,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 08:00,6.5,0.1,441.1,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 08:30,6.5,0.1,442.4,25.9
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 09:00,6.5,0.1,443.5,26
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 09:30,6.4,0.1,444.2,26.1
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 10:00,6.4,0.2,445.2,26.2
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 10:30,6.4,0.2,446.5,26.3
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 11:00,6.3,0.2,447.1,26.3
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 11:30,6.3,0.3,448,26.5
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 12:00,6.3,0.4,448.1,26.5
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 12:30,6.3,0.5,448.5,26.6
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 13:00,6.3,0.9,448.6,26.7
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 13:30,6.3,0.9,447.6,26.8
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 14:00,6.3,1.3,439.2,26.6
กระทุ่มแบน จ.สมุทรสาคร (117),26 ม.ค.2558 14:30,6.3,1.2,438.4,26.9
